secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,anioEleccion,cantidadElectores_2025,EN_BLANCO_2025,LLA_JxC,NO_VOTANTES_2025,OTROS_2025,UxP_2025
2,0,Simulated,00001,1,10427,2025,10427,1059,3399,3504,860,1605
2,0,Simulated,00003,1,3663,2025,3663,391,1282,1078,199,714
2,0,Simulated,00005,1,1217,2025,1217,110,515,379,41,171
2,0,Simulated,00006,1,86,2025,86,7,38,19,3,20
2,0,Simulated,00007,1,456,2025,456,43,191,132,30,61
2,0,Simulated,00010,1,9358,2025,9358,1101,3085,2548,425,2199
2,0,Simulated,00011,1,498,2025,498,18,114,141,19,206
2,0,Simulated,00012,1,325,2025,325,26,77,110,16,96
2,0,Simulated,00013,1,197,2025,197,12,77,54,6,49
2,0,Simulated,00014,1,721,2025,721,101,289,169,24,137
2,0,Simulated,00015,1,119,2025,119,13,21,28,2,55
2,0,Simulated,00017,1,21488,2025,21488,1461,8177,6833,1382,3635
2,0,Simulated,00018,1,36011,2025,36011,1770,9850,11268,3052,10071
2,0,Simulated,00019,1,117755,2025,117755,11889,26034,34244,9063,36525
2,0,Simulated,00020,1,35029,2025,35029,2228,9578,12103,2376,8744
2,0,Simulated,00021,1,63044,2025,63044,4903,15254,20238,3252,19397
2,0,Simulated,00022,1,37969,2025,37969,3758,8771,13230,2385,9824
2,0,Simulated,00023,1,19348,2025,19348,1640,4956,6793,1507,4452
2,0,Simulated,00024,1,10100,2025,10100,754,3198,2952,797,2399
2,0,Simulated,00025,1,11542,2025,11542,714,2786,3603,526,3913
2,0,Simulated,00026,1,6235,2025,6235,379,626,2228,198,2803
2,0,Simulated,00027,1,22085,2025,22085,1749,4184,7887,1025,7239
2,0,Simulated,00030,1,6576,2025,6576,297,1794,2538,312,1634
2,0,Simulated,00031,1,1513,2025,1513,81,479,423,119,411
2,0,Simulated,00032,1,5024,2025,5024,294,1339,1386,254,1751
2,0,Simulated,00033,1,12476,2025,12476,636,4059,3362,1148,3271
2,0,Simulated,00034,1,29682,2025,29682,1872,7544,9558,1168,9540
2,0,Simulated,00037,1,21862,2025,21862,1311,6108,6440,823,7180
2,0,Simulated,00038,1,34825,2025,34825,1864,9346,12123,1790,9702
2,0,Simulated,00039,1,56394,2025,56394,3939,12669,19868,2045,17873
2,0,Simulated,00040,1,67862,2025,67862,5520,18959,21091,4582,17711
2,0,Simulated,00046,1,19103,2025,19103,2669,5651,5782,1321,3679
2,0,Simulated,00050,1,73,2025,73,6,15,34,8,10
2,0,Simulated,00052,1,77,2025,77,3,44,18,3,9
2,0,Simulated,00055,1,99,2025,99,10,48,30,4,8
2,0,Simulated,00056,1,156,2025,156,14,42,68,11,22
2,0,Simulated,00057,1,21,2025,21,2,4,14,0,1
2,0,Simulated,00060,1,49482,2025,49482,4280,16263,15483,3651,9806
2,0,Simulated,00061,1,80,2025,80,5,38,23,6,7
2,0,Simulated,00062,1,2907,2025,2907,179,1068,1119,186,355
2,0,Simulated,00063,1,31,2025,31,3,8,16,3,1
2,0,Simulated,00065,1,34,2025,34,1,14,14,1,3
2,0,Simulated,00066,1,117,2025,117,14,43,40,4,14
2,0,Simulated,00067,1,2785,2025,2785,231,995,1031,107,422
2,0,Simulated,00072,1,14292,2025,14292,1124,4306,6142,940,1780
2,0,Simulated,00073,1,26302,2025,26302,2004,7862,9823,1040,5572
2,0,Simulated,00074,1,22000,2025,22000,1531,7068,7474,1254,4672
2,0,Simulated,00075,1,6178,2025,6178,476,2584,1541,431,1145
2,0,Simulated,00076,1,39936,2025,39936,3426,13208,12544,2564,8194
2,0,Simulated,00077,1,4802,2025,4802,362,1718,1566,343,813
2,0,Simulated,00078,1,5156,2025,5156,401,2064,1374,454,864
2,0,Simulated,00079,1,6875,2025,6875,575,2653,2019,295,1333
2,0,Simulated,00080,1,1719,2025,1719,157,657,520,124,261
2,0,Simulated,00083,1,11188,2025,11188,537,4474,2879,982,2316
2,0,Simulated,00084,1,11869,2025,11869,1210,4478,3336,755,2090
2,0,Simulated,00085,1,27904,2025,27904,2809,10912,8033,1316,4834
