secprov,seccionId,name,circuitoId,nombreAgrupacion,mesasTotalizadas,cantidadElectores,votos,anioEleccion,cantidadElectores_2025
2,0,Simulated,00001,EN_BLANCO_2025,1,10996,992,2025,10996
2,0,Simulated,00003,EN_BLANCO_2025,1,3422,475,2025,3422
2,0,Simulated,00005,EN_BLANCO_2025,1,1164,98,2025,1164
2,0,Simulated,00006,EN_BLANCO_2025,1,88,9,2025,88
2,0,Simulated,00007,EN_BLANCO_2025,1,422,37,2025,422
2,0,Simulated,00010,EN_BLANCO_2025,1,8443,1175,2025,8443
2,0,Simulated,00011,EN_BLANCO_2025,1,583,38,2025,583
2,0,Simulated,00012,EN_BLANCO_2025,1,276,28,2025,276
2,0,Simulated,00013,EN_BLANCO_2025,1,196,22,2025,196
2,0,Simulated,00014,EN_BLANCO_2025,1,716,110,2025,716
2,0,Simulated,00015,EN_BLANCO_2025,1,119,9,2025,119
2,0,Simulated,00017,EN_BLANCO_2025,1,20931,1310,2025,20931
2,0,Simulated,00018,EN_BLANCO_2025,1,27663,1654,2025,27663
2,0,Simulated,00019,EN_BLANCO_2025,1,102896,9988,2025,102896
2,0,Simulated,00020,EN_BLANCO_2025,1,36003,2585,2025,36003
2,0,Simulated,00021,EN_BLANCO_2025,1,65101,5081,2025,65101
2,0,Simulated,00022,EN_BLANCO_2025,1,49690,4520,2025,49690
2,0,Simulated,00023,EN_BLANCO_2025,1,17651,1178,2025,17651
2,0,Simulated,00024,EN_BLANCO_2025,1,10630,748,2025,10630
2,0,Simulated,00025,EN_BLANCO_2025,1,10502,670,2025,10502
2,0,Simulated,00026,EN_BLANCO_2025,1,6861,589,2025,6861
2,0,Simulated,00027,EN_BLANCO_2025,1,27529,2129,2025,27529
2,0,Simulated,00030,EN_BLANCO_2025,1,9112,603,2025,9112
2,0,Simulated,00031,EN_BLANCO_2025,1,1373,106,2025,1373
2,0,Simulated,00032,EN_BLANCO_2025,1,4598,327,2025,4598
2,0,Simulated,00033,EN_BLANCO_2025,1,10138,678,2025,10138
2,0,Simulated,00034,EN_BLANCO_2025,1,24504,2264,2025,24504
2,0,Simulated,00037,EN_BLANCO_2025,1,19834,1338,2025,19834
2,0,Simulated,00038,EN_BLANCO_2025,1,41689,1998,2025,41689
2,0,Simulated,00039,EN_BLANCO_2025,1,65492,7203,2025,65492
2,0,Simulated,00040,EN_BLANCO_2025,1,81763,3904,2025,81763
2,0,Simulated,00046,EN_BLANCO_2025,1,19601,2761,2025,19601
2,0,Simulated,00050,EN_BLANCO_2025,1,81,8,2025,81
2,0,Simulated,00052,EN_BLANCO_2025,1,73,5,2025,73
2,0,Simulated,00055,EN_BLANCO_2025,1,95,10,2025,95
2,0,Simulated,00056,EN_BLANCO_2025,1,124,20,2025,124
2,0,Simulated,00057,EN_BLANCO_2025,1,23,0,2025,23
2,0,Simulated,00060,EN_BLANCO_2025,1,51631,6208,2025,51631
2,0,Simulated,00061,EN_BLANCO_2025,1,80,7,2025,80
2,0,Simulated,00062,EN_BLANCO_2025,1,2633,255,2025,2633
2,0,Simulated,00063,EN_BLANCO_2025,1,23,2,2025,23
2,0,Simulated,00065,EN_BLANCO_2025,1,34,2,2025,34
2,0,Simulated,00066,EN_BLANCO_2025,1,114,10,2025,114
2,0,Simulated,00067,EN_BLANCO_2025,1,2919,360,2025,2919
2,0,Simulated,00072,EN_BLANCO_2025,1,9446,925,2025,9446
2,0,Simulated,00073,EN_BLANCO_2025,1,29138,2759,2025,29138
2,0,Simulated,00074,EN_BLANCO_2025,1,24339,2572,2025,24339
2,0,Simulated,00075,EN_BLANCO_2025,1,10058,760,2025,10058
2,0,Simulated,00076,EN_BLANCO_2025,1,40336,2956,2025,40336
2,0,Simulated,00077,EN_BLANCO_2025,1,3256,318,2025,3256
2,0,Simulated,00078,EN_BLANCO_2025,1,5105,425,2025,5105
2,0,Simulated,00079,EN_BLANCO_2025,1,6070,587,2025,6070
2,0,Simulated,00080,EN_BLANCO_2025,1,2025,213,2025,2025
2,0,Simulated,00083,EN_BLANCO_2025,1,10188,1078,2025,10188
2,0,Simulated,00084,EN_BLANCO_2025,1,8865,741,2025,8865
2,0,Simulated,00085,EN_BLANCO_2025,1,33083,3278,2025,33083
2,0,Simulated,00086,EN_BLANCO_2025,1,24693,2120,2025,24693
2,0,Simulated,00087,EN_BLANCO_2025,1,16418,1730,2025,16418
2,0,Simulated,00088,EN_BLANCO_2025,1,6447,620,2025,6447
2,0,Simulated,00089,EN_BLANCO_2025,1,10562,1379,2025,10562
2,0,Simulated,00090,EN_BLANCO_2025,1,37,0,2025,37
2,0,Simulated,00091,EN_BLANCO_2025,1,14130,1792,2025,14130
2,0,Simulated,00092,EN_BLANCO_2025,1,10538,835,2025,10538
2,0,Simulated,00093,EN_BLANCO_2025,1,5804,822,2025,5804
2,0,Simulated,00098,EN_BLANCO_2025,1,38037,4357,2025,38037
2,0,Simulated,00099,EN_BLANCO_2025,1,724,70,2025,724
2,1,Simulated,00100,EN_BLANCO_2025,1,343,13,2025,343
2,1,Simulated,00101,EN_BLANCO_2025,1,508,45,2025,508
2,1,Simulated,00102,EN_BLANCO_2025,1,134,5,2025,134
2,1,Simulated,00103,EN_BLANCO_2025,1,140,15,2025,140
2,1,Simulated,00104,EN_BLANCO_2025,1,252,25,2025,252
2,1,Simulated,00105,EN_BLANCO_2025,1,25254,1802,2025,25254
2,1,Simulated,00106,EN_BLANCO_2025,1,614,57,2025,614
2,1,Simulated,00107,EN_BLANCO_2025,1,4888,433,2025,4888
2,1,Simulated,00110,EN_BLANCO_2025,1,493,61,2025,493
2,1,Simulated,00111,EN_BLANCO_2025,1,291,20,2025,291
2,1,Simulated,00113,EN_BLANCO_2025,1,1257,112,2025,1257
2,1,Simulated,00117,EN_BLANCO_2025,1,24330,2260,2025,24330
2,1,Simulated,00118,EN_BLANCO_2025,1,686,48,2025,686
2,1,Simulated,00120,EN_BLANCO_2025,1,465,32,2025,465
2,1,Simulated,00121,EN_BLANCO_2025,1,16185,1841,2025,16185
2,1,Simulated,00122,EN_BLANCO_2025,1,322,42,2025,322
