secprov,seccionId,name,circuitoId,nombreAgrupacion,mesasTotalizadas,cantidadElectores,votos,anioEleccion,cantidadElectores_2025
2,0,Simulated,00001,EN_BLANCO_2025,1,7472,788,2025,7472
2,0,Simulated,00003,EN_BLANCO_2025,1,3126,361,2025,3126
2,0,Simulated,00005,EN_BLANCO_2025,1,1362,121,2025,1362
2,0,Simulated,00006,EN_BLANCO_2025,1,106,8,2025,106
2,0,Simulated,00007,EN_BLANCO_2025,1,511,31,2025,511
2,0,Simulated,00010,EN_BLANCO_2025,1,7569,808,2025,7569
2,0,Simulated,00011,EN_BLANCO_2025,1,554,26,2025,554
2,0,Simulated,00012,EN_BLANCO_2025,1,246,31,2025,246
2,0,Simulated,00013,EN_BLANCO_2025,1,193,26,2025,193
2,0,Simulated,00014,EN_BLANCO_2025,1,626,95,2025,626
2,0,Simulated,00015,EN_BLANCO_2025,1,131,17,2025,131
2,0,Simulated,00017,EN_BLANCO_2025,1,20702,1512,2025,20702
2,0,Simulated,00018,EN_BLANCO_2025,1,35020,2693,2025,35020
2,0,Simulated,00019,EN_BLANCO_2025,1,105221,9007,2025,105221
2,0,Simulated,00020,EN_BLANCO_2025,1,38755,3209,2025,38755
2,0,Simulated,00021,EN_BLANCO_2025,1,60846,3920,2025,60846
2,0,Simulated,00022,EN_BLANCO_2025,1,47491,2798,2025,47491
2,0,Simulated,00023,EN_BLANCO_2025,1,18726,1157,2025,18726
2,0,Simulated,00024,EN_BLANCO_2025,1,11651,842,2025,11651
2,0,Simulated,00025,EN_BLANCO_2025,1,12534,1125,2025,12534
2,0,Simulated,00026,EN_BLANCO_2025,1,7395,578,2025,7395
2,0,Simulated,00027,EN_BLANCO_2025,1,23984,1555,2025,23984
2,0,Simulated,00030,EN_BLANCO_2025,1,6631,405,2025,6631
2,0,Simulated,00031,EN_BLANCO_2025,1,1634,134,2025,1634
2,0,Simulated,00032,EN_BLANCO_2025,1,4009,217,2025,4009
2,0,Simulated,00033,EN_BLANCO_2025,1,10940,877,2025,10940
2,0,Simulated,00034,EN_BLANCO_2025,1,26413,1540,2025,26413
2,0,Simulated,00037,EN_BLANCO_2025,1,20980,1587,2025,20980
2,0,Simulated,00038,EN_BLANCO_2025,1,48903,2195,2025,48903
2,0,Simulated,00039,EN_BLANCO_2025,1,51349,4187,2025,51349
2,0,Simulated,00040,EN_BLANCO_2025,1,94157,6604,2025,94157
2,0,Simulated,00046,EN_BLANCO_2025,1,19072,2326,2025,19072
2,0,Simulated,00050,EN_BLANCO_2025,1,82,11,2025,82
2,0,Simulated,00052,EN_BLANCO_2025,1,75,4,2025,75
2,0,Simulated,00055,EN_BLANCO_2025,1,92,9,2025,92
2,0,Simulated,00056,EN_BLANCO_2025,1,123,13,2025,123
2,0,Simulated,00057,EN_BLANCO_2025,1,21,1,2025,21
2,0,Simulated,00060,EN_BLANCO_2025,1,48256,6778,2025,48256
2,0,Simulated,00061,EN_BLANCO_2025,1,66,4,2025,66
2,0,Simulated,00062,EN_BLANCO_2025,1,3162,365,2025,3162
2,0,Simulated,00063,EN_BLANCO_2025,1,21,2,2025,21
2,0,Simulated,00065,EN_BLANCO_2025,1,33,5,2025,33
2,0,Simulated,00066,EN_BLANCO_2025,1,129,17,2025,129
2,0,Simulated,00067,EN_BLANCO_2025,1,3365,315,2025,3365
2,0,Simulated,00072,EN_BLANCO_2025,1,13786,1187,2025,13786
2,0,Simulated,00073,EN_BLANCO_2025,1,25879,2873,2025,25879
2,0,Simulated,00074,EN_BLANCO_2025,1,22480,2330,2025,22480
2,0,Simulated,00075,EN_BLANCO_2025,1,8258,862,2025,8258
2,0,Simulated,00076,EN_BLANCO_2025,1,42870,3424,2025,42870
2,0,Simulated,00077,EN_BLANCO_2025,1,4563,509,2025,4563
2,0,Simulated,00078,EN_BLANCO_2025,1,4806,361,2025,4806
2,0,Simulated,00079,EN_BLANCO_2025,1,6498,412,2025,6498
2,0,Simulated,00080,EN_BLANCO_2025,1,2170,207,2025,2170
2,0,Simulated,00083,EN_BLANCO_2025,1,11196,974,2025,11196
2,0,Simulated,00084,EN_BLANCO_2025,1,8679,544,2025,8679
2,0,Simulated,00085,EN_BLANCO_2025,1,30604,2905,2025,30604
2,0,Simulated,00086,EN_BLANCO_2025,1,22697,2185,2025,22697
2,0,Simulated,00087,EN_BLANCO_2025,1,15297,1820,2025,15297
