secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,anioEleccion,cantidadElectores_2025,EN_BLANCO_2025,LLA_JxC,NO_VOTANTES_2025,OTROS_2025,UxP_2025
2,0,Simulated,00001,1,10681,2025,10681,1770,1562,4903,911,1535
2,0,Simulated,00003,1,3339,2025,3339,465,509,1466,375,525
2,0,Simulated,00005,1,796,2025,796,128,148,354,82,85
2,0,Simulated,00006,1,75,2025,75,9,14,34,6,12
2,0,Simulated,00007,1,475,2025,475,75,89,217,37,57
2,0,Simulated,00010,1,8254,2025,8254,1531,1114,2899,847,1863
2,0,Simulated,00011,1,538,2025,538,52,55,220,36,174
2,0,Simulated,00012,1,250,2025,250,47,16,102,20,66
2,0,Simulated,00013,1,204,2025,204,49,26,70,24,35
2,0,Simulated,00014,1,619,2025,619,103,106,232,51,126
2,0,Simulated,00015,1,127,2025,127,18,12,41,12,45
2,0,Simulated,00017,1,25838,2025,25838,2906,4270,10585,3495,4582
2,0,Simulated,00018,1,35475,2025,35475,4172,4162,13490,4091,9559
2,0,Simulated,00019,1,89872,2025,89872,11936,9736,39278,5535,23388
2,0,Simulated,00020,1,40450,2025,40450,5684,4516,17917,3390,8943
2,0,Simulated,00021,1,63458,2025,63458,6223,6694,27702,5865,16974
2,0,Simulated,00022,1,54831,2025,54831,6767,5193,24197,3074,15601
2,0,Simulated,00023,1,17731,2025,17731,1797,1730,8344,2304,3556
2,0,Simulated,00024,1,10570,2025,10570,1147,1411,4402,985,2625
2,0,Simulated,00025,1,13000,2025,13000,1161,1267,5228,1133,4211
2,0,Simulated,00026,1,8612,2025,8612,717,354,3744,388,3410
2,0,Simulated,00027,1,19707,2025,19707,1981,1589,8600,1596,5941
2,0,Simulated,00030,1,8893,2025,8893,621,1017,4419,612,2224
2,0,Simulated,00031,1,1140,2025,1140,117,187,439,137,261
2,0,Simulated,00032,1,3814,2025,3814,511,421,1525,271,1086
2,0,Simulated,00033,1,12143,2025,12143,1319,1657,4606,1594,2967
2,0,Simulated,00034,1,22542,2025,22542,2946,2550,9154,1755,6138
2,0,Simulated,00037,1,25606,2025,25606,3571,2676,10562,1796,7001
2,0,Simulated,00038,1,39606,2025,39606,3186,4378,17482,3761,10800
2,0,Simulated,00039,1,58510,2025,58510,5206,5988,25590,4134,17592
2,0,Simulated,00040,1,76115,2025,76115,9375,9450,31033,5194,21063
2,0,Simulated,00046,1,21247,2025,21247,3599,2693,9245,1737,3972
2,0,Simulated,00050,1,69,2025,69,9,5,41,6,8
2,0,Simulated,00052,1,87,2025,87,16,17,28,16,9
2,0,Simulated,00055,1,101,2025,101,22,16,49,10,4
2,0,Simulated,00056,1,100,2025,100,12,17,51,10,10
2,0,Simulated,00057,1,27,2025,27,2,2,18,3,1
2,0,Simulated,00060,1,56215,2025,56215,8933,7786,21591,5094,12811
2,0,Simulated,00061,1,78,2025,78,11,16,39,7,4
2,0,Simulated,00062,1,2563,2025,2563,338,409,1289,164,363
2,0,Simulated,00063,1,32,2025,32,5,5,20,1,1
2,0,Simulated,00065,1,30,2025,30,2,0,19,5,4
2,0,Simulated,00066,1,103,2025,103,15,17,41,14,16
2,0,Simulated,00067,1,3592,2025,3592,346,485,1899,330,532
2,0,Simulated,00072,1,12525,2025,12525,1376,1540,6406,1258,1944
2,0,Simulated,00073,1,27433,2025,27433,2944,3499,14935,1989,4066
2,0,Simulated,00074,1,25655,2025,25655,3036,3372,12565,2011,4672
2,0,Simulated,00075,1,8336,2025,8336,1064,1359,3554,641,1718
2,0,Simulated,00076,1,38695,2025,38695,4865,6202,16742,2859,8028
2,0,Simulated,00077,1,4405,2025,4405,566,717,1986,364,772
2,0,Simulated,00078,1,5152,2025,5152,755,803,2138,590,866
2,0,Simulated,00079,1,5237,2025,5237,583,943,2443,390,878
2,0,Simulated,00080,1,2266,2025,2266,348,368,1036,164,350
2,0,Simulated,00083,1,12438,2025,12438,1803,2010,5643,1060,1922
2,0,Simulated,00084,1,10353,2025,10353,1430,1695,5100,790,1338
2,0,Simulated,00085,1,23873,2025,23873,3436,3931,9837,2454,4216
2,0,Simulated,00086,1,24674,2025,24674,2839,4150,10954,2680,4052
2,0,Simulated,00087,1,15328,2025,15328,1675,2020,7009,1245,3380
2,0,Simulated,00088,1,6403,2025,6403,905,996,2723,422,1357
2,0,Simulated,00089,1,9066,2025,9066,1199,1710,3706,1095,1356
2,0,Simulated,00090,1,31,2025,31,3,5,14,5,4
